37.50%	24	12
30.09%	36	12
27.78%	48	12
32.78%	60	12
34.26%	72	12
22.12%	84	12
12.50%	96	12
30.25%	108	12
18.33%	120	12
15.91%	132	12
25.93%	144	12
25.64%	156	12
24.90%	168	12
22.45%	180	12
18.79%	192	12
25.00%	204	12
33.60%	216	12
33.55%	228	12
62.50%	24	12
55.56%	36	12
47.92%	48	12
58.33%	60	12
56.94%	72	12
45.24%	84	12
9.38%	96	12
56.48%	108	12
37.50%	120	12
25.76%	132	12
48.61%	144	12
43.59%	156	12
45.83%	168	12
41.11%	180	12
35.42%	192	12
53.43%	204	12
66.20%	216	12
64.47%	228	12
66.67%	240	12
60.71%	252	12
37.50%	264	12
58.70%	276	12
59.38%	288	12
59.67%	300	12
54.17%	312	12
54.94%	324	12
53.27%	336	12
56.32%	348	12
44.17%	360	12
53.76%	372	12
62.50%	384	12
50.25%	396	12
32.35%	408	12
46.19%	420	12
30.32%	432	12
26.13%	444	12
62.50%	24	12
55.56%	36	12
47.92%	48	12
58.33%	60	12
56.94%	72	12
45.24%	84	12
9.38%	96	12
56.48%	108	12
37.50%	120	12
25.76%	132	12
48.61%	144	12
43.59%	156	12
45.83%	168	12
41.11%	180	12
35.42%	192	12
53.43%	204	12
66.20%	216	12
64.47%	228	12
66.67%	240	12
60.71%	252	12
37.50%	264	12
58.70%	276	12
59.38%	288	12
59.67%	300	12
54.17%	312	12
54.94%	324	12
53.27%	336	12
56.32%	348	12
44.17%	360	12
53.76%	372	12
62.50%	384	12
50.25%	396	12
32.35%	408	12
46.19%	420	12
30.32%	432	12
26.13%	444	12
62.50%	24	12
55.56%	36	12
47.92%	48	12
58.33%	60	12
56.94%	72	12
45.24%	84	12
9.38%	96	12
56.48%	108	12
37.50%	120	12
25.76%	132	12
48.61%	144	12
43.59%	156	12
45.83%	168	12
41.11%	180	12
35.42%	192	12
53.43%	204	12
66.20%	216	12
64.47%	228	12
66.67%	240	12
60.71%	252	12
37.50%	264	12
58.70%	276	12
59.38%	288	12
59.67%	300	12
54.17%	312	12
54.94%	324	12
53.27%	336	12
56.32%	348	12
44.17%	360	12
53.76%	372	12
62.50%	384	12
50.25%	396	12
32.35%	408	12
46.19%	420	12
30.32%	432	12
26.13%	444	12
62.50%	24	12
55.56%	36	12
47.92%	48	12
58.33%	60	12
56.94%	72	12
45.24%	84	12
9.38%	96	12
56.48%	108	12
37.50%	120	12
25.76%	132	12
48.61%	144	12
43.59%	156	12
45.83%	168	12
41.11%	180	12
35.42%	192	12
53.43%	204	12
66.20%	216	12
64.47%	228	12
66.67%	240	12
60.71%	252	12
37.50%	264	12
58.70%	276	12
59.38%	288	12
59.67%	300	12
54.17%	312	12
54.94%	324	12
53.27%	336	12
56.32%	348	12
44.17%	360	12
53.76%	372	12
62.50%	384	12
50.25%	396	12
32.35%	408	12
46.19%	420	12
30.32%	432	12
26.13%	444	12
